Seconds;Ecg;Eda_E4;Eda_RB;Bvp;Emg;Resp;COVAS;Tmp
0.000000;-0.040843;2.679299;12.856540;-11.272028;-0.000008;-0.427371;68.000000;28.530000
0.004000;-0.005490;2.679305;12.856104;-12.247686;-0.000968;-0.417241;68.000000;28.530000
0.008000;0.033327;2.679311;12.855665;-13.254693;-0.003981;-0.406962;67.500000;28.530000
0.012000;0.084693;2.679316;12.855224;-14.293355;-0.003585;-0.396536;67.000000;28.530000
0.016000;0.145410;2.679320;12.854780;-15.363901;0.002590;-0.385964;67.000000;28.530000
0.020000;0.195469;2.679324;12.854334;-16.466393;0.004601;-0.375246;67.000000;28.530000
0.024000;0.231497;2.679328;12.853886;-17.600638;0.001575;-0.364385;67.000000;28.530000
0.028000;0.257439;2.679331;12.853435;-18.766084;-0.001639;-0.353380;67.000000;28.530000
0.032000;0.270360;2.679334;12.852983;-19.961717;-0.002217;-0.342234;67.000000;28.530000
0.036000;0.274742;2.679336;12.852530;-21.185952;-0.000683;-0.330946;67.000000;28.530000
0.040000;0.277034;2.679338;12.852075;-22.436533;-0.001242;-0.319520;67.000000;28.530000
0.044000;0.280227;2.679339;12.851618;-23.710435;-0.000601;-0.307955;67.000000;28.530000
0.048000;0.283943;2.679340;12.851160;-25.003800;0.001607;-0.296253;67.000000;28.530000
0.052000;0.285119;2.679340;12.850701;-26.311871;0.000958;-0.284416;67.000000;28.530000
0.056000;0.283833;2.679339;12.850242;-27.628951;-0.000568;-0.272445;67.000000;28.530000
0.060000;0.282140;2.679338;12.849781;-28.948386;-0.001283;-0.260341;67.000000;28.530000
0.064000;0.280843;2.679336;12.849319;-30.262697;-0.000245;-0.248107;67.000000;28.530000
0.068000;0.280284;2.679334;12.848857;-31.563823;0.001539;-0.235743;67.000000;28.530000
0.072000;0.280902;2.679331;12.848394;-32.843352;0.001299;-0.223251;67.000000;28.530000
0.076000;0.283943;2.679327;12.847931;-34.092671;0.002873;-0.210633;67.000000;28.530000
0.080000;0.293994;2.679322;12.847467;-35.303058;0.002510;-0.197890;67.000000;28.530000
0.084000;0.309525;2.679317;12.847003;-36.465754;-0.002192;-0.185024;67.000000;28.530000
0.088000;0.320141;2.679311;12.846539;-37.572003;-0.002590;-0.172037;67.000000;28.530000
0.092000;0.324270;2.679305;12.846075;-38.613103;-0.001002;-0.158931;67.000000;28.530000
0.096000;0.326874;2.679297;12.845611;-39.580459;-0.001404;-0.145707;67.000000;28.530000
0.100000;0.330353;2.679289;12.845147;-40.465656;-0.002172;-0.132366;67.000000;28.530000
0.104000;0.338444;2.679280;12.844683;-41.260523;-0.002352;-0.118912;67.000000;28.530000
0.108000;0.353354;2.679270;12.844220;-41.957227;-0.001020;-0.105345;67.000000;28.530000
0.112000;0.370440;2.679260;12.843756;-42.548364;0.003072;-0.091667;67.000000;28.530000
0.116000;0.387384;2.679249;12.843293;-43.027077;0.006854;-0.077881;67.000000;28.530000
0.120000;0.407242;2.679237;12.842831;-43.387175;0.002721;-0.063988;67.000000;28.530000
0.124000;0.425663;2.679224;12.842369;-43.623272;-0.002527;-0.049990;67.000000;28.530000
0.128000;0.436430;2.679210;12.841908;-43.730937;-0.001931;-0.035890;67.000000;28.530000
0.132000;0.441792;2.679195;12.841448;-43.706858;-0.001174;-0.021689;67.000000;28.530000
0.136000;0.445612;2.679180;12.840988;-43.549008;-0.000861;-0.007388;67.000000;28.530000
0.140000;0.449134;2.679163;12.840530;-43.256797;-0.000191;0.007009;67.000000;28.530000
0.144000;0.452998;2.679146;12.840072;-42.831112;-0.000044;0.021501;67.000000;28.530000
0.148000;0.458279;2.679128;12.839616;-42.274182;0.000122;0.036086;67.000000;28.530000
0.152000;0.468226;2.679109;12.839161;-41.589312;0.000213;0.050762;67.000000;28.530000
0.156000;0.485013;2.679089;12.838707;-40.780599;0.000342;0.065526;67.000000;28.530000
0.160000;0.504747;2.679068;12.838254;-39.852730;0.000663;0.080377;67.000000;28.530000
0.164000;0.522863;2.679047;12.837803;-38.810820;0.000691;0.095312;67.000000;28.530000
0.168000;0.538452;2.679024;12.837354;-37.660293;0.000722;0.110330;67.000000;28.530000
0.172000;0.549571;2.679000;12.836906;-36.406773;0.000622;0.125427;67.000000;28.530000
0.176000;0.554149;2.678976;12.836459;-35.056004;-0.001722;0.140603;67.000000;28.530000
0.180000;0.553894;2.678950;12.836014;-33.613805;-0.003580;0.155854;67.000000;28.530000
0.184000;0.550037;2.678924;12.835571;-32.086043;-0.001213;0.171178;67.000000;28.530000
0.188000;0.541015;2.678897;12.835130;-30.478625;0.001284;0.186574;67.000000;28.530000
0.192000;0.522388;2.678868;12.834690;-28.797513;0.001736;0.202038;67.000000;28.530000
0.196000;0.490854;2.678839;12.834252;-27.048740;0.001075;0.217569;67.000000;28.530000
0.200000;0.450370;2.678809;12.833816;-25.238444;-0.002315;0.233165;67.000000;28.530000
0.204000;0.404415;2.678777;12.833382;-23.372873;-0.001772;0.248823;67.000000;28.530000
0.208000;0.352957;2.678745;12.832950;-21.458375;0.003478;0.264541;67.000000;28.530000
0.212000;0.298220;2.678712;12.832520;-19.501361;0.002977;0.280317;67.000000;28.530000
0.216000;0.243124;2.678678;12.832091;-17.508270;0.000412;0.296147;67.000000;28.530000
0.220000;0.190246;2.678642;12.831664;-15.485543;-0.000240;0.312031;67.000000;28.530000
0.224000;0.145693;2.678606;12.831240;-13.439613;-0.000633;0.327966;67.000000;28.530000
0.228000;0.110346;2.678569;12.830817;-11.376894;0.000351;0.343949;67.000000;28.530000
0.232000;0.075258;2.678530;12.830396;-9.303786;-0.000035;0.359978;67.000000;28.530000
0.236000;0.038435;2.678491;12.829976;-7.226684;-0.002400;0.376052;67.000000;28.530000
0.240000;0.007665;2.678451;12.829559;-5.151978;-0.003555;0.392168;67.000000;28.530000
0.244000;-0.012180;2.678409;12.829143;-3.086051;-0.000229;0.408323;67.000000;28.530000
0.248000;-0.023959;2.678367;12.828729;-1.035256;0.003149;0.424517;67.000000;28.530000
0.252000;-0.032019;2.678323;12.828316;0.994122;0.002493;0.440747;67.000000;28.530000
0.256000;-0.038372;2.678278;12.827905;2.995900;0.001198;0.457010;67.000000;28.530000
0.260000;-0.044101;2.678233;12.827496;4.964033;0.000007;0.473306;67.000000;28.530000
0.264000;-0.049269;2.678186;12.827088;6.892623;-0.001089;0.489631;67.000000;28.530323
0.268000;-0.053015;2.678138;12.826681;8.775931;-0.003804;0.505985;67.000000;28.530645
0.272000;-0.052164;2.678089;12.826276;10.608387;-0.004621;0.522365;67.000000;28.530968
0.276000;-0.046939;2.678039;12.825872;12.384609;0.000608;0.538769;67.000000;28.531290
0.280000;-0.043336;2.677988;12.825469;14.099429;0.002849;0.555196;67.000000;28.531613
0.284000;-0.043100;2.677935;12.825067;15.747927;0.001602;0.571643;67.000000;28.531935
0.288000;-0.044559;2.677882;12.824667;17.325472;0.004914;0.588109;67.000000;28.532258
0.292000;-0.048772;2.677827;12.824267;18.827738;0.004311;0.604593;67.000000;28.532581
0.296000;-0.054184;2.677772;12.823869;20.250704;-0.002174;0.621091;67.000000;28.532903
